Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,snapshot_date
CUS_0x1048,42387.54,3680.295,3,7,26,7,"Personal Loan, Not Specified, Home Equity Loan, Home Equity Loan, Debt Consolidation Loan, Payday Loan, and Debt Consolidation Loan",9,8,10.34,7,Standard,1835.67,28.75306001,10 Years and 0 Months,Yes,225.883369,133.5133623,High_spent_Small_value_payments,268.6327687,2024-02-01
CUS_0x10c0,49454.13,4328.1775,8,5,23,2_,"Payday Loan, and Auto Loan",59,23,4.95,8,Bad,1388.56,28.97842663,13 Years and 4 Months,NM,73.34635945,148.5406576,Low_spent_Medium_value_payments,459.0780762,2024-02-01
CUS_0x115c,41695.76,3401.646667,6,7,15,9,"Not Specified, Credit-Builder Loan, Mortgage Loan, Credit-Builder Loan, Credit-Builder Loan, Student Loan, Mortgage Loan, Debt Consolidation Loan, and Mortgage Loan",24,20_,31.99,8,Bad,4453.51,26.69776846,8 Years and 6 Months,NM,302.8057257,85.68416843,Low_spent_Large_value_payments,221.6747725,2024-02-01
CUS_0x12b6,67104.12,5829.01,9,9,19,5,"Student Loan, Not Specified, Payday Loan, Not Specified, and Auto Loan",28,25,21.54,8,Bad,4635.75,27.64402304,1 Years and 9 Months,Yes,265.0221602,__10000__,Low_spent_Medium_value_payments,391.6203151,2024-02-01
CUS_0x12b8,15906.4,1350.533333,9,10,21,8,"Credit-Builder Loan, Student Loan, Debt Consolidation Loan, Student Loan, Student Loan, Home Equity Loan, Credit-Builder Loan, and Not Specified",22,21,27.86,6,Bad,3167.74,31.0857016,10 Years and 11 Months,Yes,91.89337581,119.607259,Low_spent_Small_value_payments,213.5526985,2024-02-01
CUS_0x12ef,68898,5588.5,7,4,11,0,,24,16,5.8,5,Standard,312.14,29.86160695,28 Years and 2 Months,No,0.0,195.7889798,!@9#%8,613.0610202,2024-02-01
CUS_0x134d,85324.44,7286.37,5,7,18,3_,"Auto Loan, Personal Loan, and Payday Loan",12,12,16.22,7,Standard,713.09,28.64542307,28 Years and 6 Months,Yes,197.305281,279.8194093,High_spent_Medium_value_payments,501.5123097,2024-02-01
CUS_0x13c2,60682.11,5179.8425,8,5,23,5,"Home Equity Loan, Debt Consolidation Loan, Credit-Builder Loan, Payday Loan, and Debt Consolidation Loan",41,18,26.12,9,Bad,4899.87,35.24700774,9 Years and 5 Months,Yes,195.4514774,142.6575619,Low_spent_Medium_value_payments,386.5302237,2024-02-01
CUS_0x1414,51093.12,4080.76,8,9,25,6,"Credit-Builder Loan, Payday Loan, Home Equity Loan, Not Specified, Home Equity Loan, and Payday Loan",42,22,27.67,12,Bad,3628.5,30.71488668,11 Years and 2 Months,Yes,246.0885955,330.9223634,Low_spent_Small_value_payments,121.0650411,2024-02-01
CUS_0x1470,14156.88,1251.74,3,4,4,4,"Mortgage Loan, Not Specified, Payday Loan, and Home Equity Loan",0,8,8.86,4,Good,602.3,31.11071542,27 Years and 0 Months,No,57803.0,91.45229451,Low_spent_Small_value_payments,287.0636961,2024-02-01
