Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,snapshot_date
CUS_0x102e,50807.44,4197.953333,8,4,11,4,"Mortgage Loan, Not Specified, Home Equity Loan, and Home Equity Loan",12,9,2.6,4,_,869.59,30.31145401,22 Years and 10 Months,NM,88.75991925,65.27556453,High_spent_Medium_value_payments,515.7598496,2024-04-01
CUS_0x109d,49140.87,4377.0725,10,6,27,6,"Not Specified, Not Specified, Mortgage Loan, Mortgage Loan, Payday Loan, and Payday Loan",35,18,16.66,11,Bad,2950.8,31.16378562,6 Years and 6 Months,NM,154.1724263,301.5937949,Low_spent_Small_value_payments,271.9410288,2024-04-01
CUS_0x112e,20162.26,1872.188333,8,4,11,4_,"Home Equity Loan, Home Equity Loan, Personal Loan, and Auto Loan",13,10,1.71,2,Standard,660.26,34.4970261,19 Years and 9 Months,No,66.24488172,209.3396867,Low_spent_Small_value_payments,201.6342649,2024-04-01
CUS_0x1183,134393.73,10944.4775,1,3,12,2,"Credit-Builder Loan, and Mortgage Loan",13,-1,11.49,3,Good,945.29,34.95128259,25 Years and 8 Months,No,136.0306305,178.1009964,High_spent_Medium_value_payments,1030.316123,2024-04-01
CUS_0x1220,128494.52,10580.87667,4,4,9,2,"Student Loan, and Mortgage Loan",0,0_,10.33,3,Good,722.25,31.23878097,28 Years and 8 Months,No,176.9046097,__10000__,High_spent_Large_value_payments,995.2348626,2024-04-01
CUS_0x1226,11421.51,1030.7925,5,3,14,3,"Student Loan, Payday Loan, and Home Equity Loan",19,15,15.72,7,_,1278.12,24.0165581,30 Years and 2 Months,Yes,20.89293594,55.88990035,!@9#%8,316.2964137,2024-04-01
CUS_0x1343,125280.36,10704.03,0,5,3,4,"Debt Consolidation Loan, Student Loan, Home Equity Loan, and Mortgage Loan",2,5,11.69,0,Good,1388.43,32.42628414,22 Years and 3 Months,No,305.7227762,145.343362,High_spent_Large_value_payments,859.3368618,2024-04-01
CUS_0x13c7,69341.52,5919.46,3,3,11,1,Not Specified,13,9,7.58,8,Standard,302.75,41.31044359,15 Years and 10 Months,No,54.60540123,328.3664527,!@9#%8,468.9741461,2024-04-01
CUS_0x13d5,124183.56,10156.63,7,5,5,2,"Payday Loan, and Student Loan",12,17,11.19,6,Good,247.96,37.84311828,31 Years and 4 Months,NM,156.3049517,78.03561974,High_spent_Large_value_payments,1021.322429,2024-04-01
CUS_0x1422,57877.95,4531.1625,8,10,15,5,"Home Equity Loan, Not Specified, Not Specified, Debt Consolidation Loan, and Mortgage Loan",19,13,14.36,15,Standard,1805.92,34.80238038,20 Years and 0 Months,Yes,204.4724626,294.4347682,Low_spent_Small_value_payments,244.2090192,2024-04-01
