Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,snapshot_date
CUS_0x102d,89064.52,7256.043333,5,3,1,1,Mortgage Loan,6,5,6.37,3,_,648.36,30.57429936,30 Years and 3 Months,No,37.57275058,296.0941191,High_spent_Medium_value_payments,641.9374637,2024-01-01
CUS_0x1051,35022.22,2859.518333,3,5,4,1,Student Loan,6,11,_,5,Good,1000.44,25.39023215,28 Years and 6 Months,No,21.21457645,259.3451134,Low_spent_Small_value_payments,295.3921434,2024-01-01
CUS_0x1269,42031.09,3762.590833,2,1,8,3,"Not Specified, Debt Consolidation Loan, and Auto Loan",1,5,14.11,2,Good,83.55,24.06558947,17 Years and 3 Months,No,66.50617973,108.8558576,High_spent_Medium_value_payments,450.897046,2024-01-01
CUS_0x1290,10455.875,729.3229167,6,5,12,3,"Personal Loan, Payday Loan, and Credit-Builder Loan",11,19,9.71,0,Good,83.16,29.46491267,23 Years and 3 Months,No,25.74844766,24.49050438,Low_spent_Medium_value_payments,302.6933396,2024-01-01
CUS_0x12d1,21384.94,1646.078333,4,4,15,2,"Credit-Builder Loan, and Debt Consolidation Loan",24,15,14.37,9,Standard,691.53,24.88446435,27 Years and 0 Months,Yes,22.095625,168.2454955,Low_spent_Medium_value_payments,254.2667128,2024-01-01
CUS_0x12d5,62320.56,5068.38,9,9,18,5,"Debt Consolidation Loan, Home Equity Loan, Auto Loan, Home Equity Loan, and Debt Consolidation Loan",23,15,17.24,15,_,3589.56,38.3374493,1 Years and 11 Months,NM,171.3455597,171.5108634,High_spent_Small_value_payments,423.9815769,2024-01-01
CUS_0x133e,16626.25,1096.520833,0,2,5,0,,13,7,6.39,0,Good,1113.26,25.3062199,22 Years and 10 Months,No,0.0,53.38619195,Low_spent_Small_value_payments,346.2658914,2024-01-01
CUS_0x1383,80206.64,6766.886667,5,4,20,5,"Student Loan, Payday Loan, Not Specified, Payday Loan, and Payday Loan",11,16,7,6,Standard,1129.87,32.07508945,8 Years and 8 Months,Yes,260.4189799,522.9770603,Low_spent_Medium_value_payments,173.2926265,2024-01-01
CUS_0x143c,18578.88,1325.113473,1,3,1,-100,"Auto Loan, Credit-Builder Loan, and Auto Loan",15,12,11.87,5,Good,779.49,39.53251722,31 Years and 6 Months,NM,140.106865,76.61359044,Low_spent_Small_value_payments,317.0300711,2024-01-01
CUS_0x14d0,48089.16,3902.43,10,8,18,5,"Auto Loan, Auto Loan, Auto Loan, Not Specified, and Home Equity Loan",59,19,18.09,9,Bad,2654.6,38.36941223,7 Years and 11 Months,Yes,192.7401971,61.60207027,High_spent_Large_value_payments,375.9007326,2024-01-01
CUS_0x150d,40085.46,3455.455,6,6,18,5,"Auto Loan, Student Loan, Payday Loan, Payday Loan, and Debt Consolidation Loan",45,12,8.97,12,Bad,2343,24.6614184,18 Years and 11 Months,Yes,142.1126209,215.5387115,Low_spent_Small_value_payments,277.8941676,2024-01-01
CUS_0x1550,48996.08,3799.006667,5,7,12,4_,"Personal Loan, Credit-Builder Loan, Payday Loan, and Payday Loan",27,16,13.31,1,Standard,285.29,34.08376377,18 Years and 3 Months,Yes,135.683692,238.8309218,High_spent_Small_value_payments,265.3860529,2024-01-01
CUS_0x1589,71282.14,5807.178333,2,4,11,1,Home Equity Loan,9,4,5.98,5,Good,1440.78,36.60865463,32 Years and 11 Months,No,37.78886657,99.49426594,High_spent_Medium_value_payments,693.4347008,2024-01-01
CUS_0x1668,64980.72,5473.06,4,7,6,2,"Personal Loan, and Debt Consolidation Loan",7,1,0.78,3,_,375.38,40.31796565,32 Years and 2 Months,No,88.44822734,158.1410968,!@9#%8,570.7166759,2024-01-01
CUS_0x167a,17064.095,1541.007917,1,2,8,1,Credit-Builder Loan,16,-1,0.7,4,Good,858.33,27.91576126,20 Years and 3 Months,No,10.80813118,173.8548875,Low_spent_Small_value_payments,259.437773,2024-01-01
CUS_0x1688,56400.18,4991.015,7,5,30,-100,"Credit-Builder Loan, and Personal Loan",27,11,13.84,6,Standard,2582.73,28.12475185,17 Years and 10 Months,Yes,56.78390252,199.8633196,High_spent_Medium_value_payments,492.4542779,2024-01-01
CUS_0x1718,29062.92,2318.91,6,3,8,1,Credit-Builder Loan,27,13,13.94,4,Standard,50.19,25.76550961,20 Years and 8 Months,Yes,14.51622313,150.3390913,High_spent_Small_value_payments,327.0356855,2024-01-01
CUS_0x1758,21787.63,1867.635833,0,3,5,3,"Auto Loan, Personal Loan, and Not Specified",2,2,4.6,3,Good,998.07,27.68903722,29 Years and 10 Months,NM,36.90148131,206.3353931,Low_spent_Small_value_payments,233.5267089,2024-01-01
CUS_0x1764,33574.44,2864.87,7,7,16,520,"Mortgage Loan, Personal Loan, Credit-Builder Loan, and Auto Loan",9,18,10.05,0,Standard,79.95,37.3544012,24 Years and 10 Months,No,109.6811715,194.2142732,Low_spent_Medium_value_payments,262.5915552,2024-01-01
CUS_0x17e3,16579.3,1239.608333,10,7,27,8,"Mortgage Loan, Personal Loan, Student Loan, Home Equity Loan, Home Equity Loan, Credit-Builder Loan, Auto Loan, and Student Loan",56,24,1.1,14,Bad,1790.35,26.17543251,9 Years and 0 Months,Yes,60.48665095,61.91160319,High_spent_Small_value_payments,261.5625792,2024-01-01
CUS_0x18cb,47093.32,3873.481655,3,6,18,6,"Payday Loan, Debt Consolidation Loan, Debt Consolidation Loan, Mortgage Loan, Payday Loan, and Debt Consolidation Loan",22,7,10.67,10,Standard,1036.19,35.97668863,8 Years and 10 Months,Yes,281.1022332,219.1161553,Low_spent_Medium_value_payments,251.7876229,2024-01-01
CUS_0x1942,83800.56,7269.38,3,3,5,2,"Not Specified, and Student Loan",7,11,9.41,1967,Standard,836.69,33.56137472,20 Years and 9 Months,Yes,117.3508579,294.6610767,Low_spent_Small_value_payments,604.9260654,2024-01-01
CUS_0x198e,18140.0_,1375.666667,9,5,32,6,"Student Loan, Auto Loan, Mortgage Loan, Payday Loan, Home Equity Loan, and Credit-Builder Loan",60,24,19.63,12,_,4087.94,25.8020925,12 Years and 11 Months,Yes,87.66264139,82.16530473,Low_spent_Small_value_payments,257.7387205,2024-01-01
CUS_0x19a7,62348.46,4942.705,4,3,16,7,"Credit-Builder Loan, Student Loan, Not Specified, Not Specified, Home Equity Loan, Mortgage Loan, and Payday Loan",18,21,7.3,10,Standard,1940.49,31.39505504,8 Years and 0 Months,Yes,350.455834,93.7590194,High_spent_Medium_value_payments,300.0556465,2024-01-01
CUS_0x19b5,11855.82,943.985,6,6,17,1,Not Specified,13,10,7.89,5,Standard,735.37,33.25243479,17 Years and 10 Months,Yes,5.711416879,80.05423293,Low_spent_Small_value_payments,298.6328502,2024-01-01
CUS_0x1b09,96522,8334.5,4,4,3,4,"Personal Loan, Personal Loan, Not Specified, and Mortgage Loan",0,3,3.7,1,Good,1022.38,34.41648823,23 Years and 5 Months,No,247.9498725,184.3896841,High_spent_Large_value_payments,641.1104434,2024-01-01
CUS_0x1bff,19323.4,1749.283333,10,831,18,8,"Debt Consolidation Loan, Debt Consolidation Loan, Payday Loan, Credit-Builder Loan, Payday Loan, Not Specified, Home Equity Loan, and Auto Loan",48,15,17.02,11,Bad,3033.25,37.06377993,8 Years and 11 Months,Yes,99.10134678,18.03784036,High_spent_Large_value_payments,302.3680028,2024-01-01
CUS_0x1c12,115177.32,9529.11,4,4,2,4,"Debt Consolidation Loan, Auto Loan, Not Specified, and Not Specified",10,10,3.83,4,_,801.79,39.31693775,17 Years and 2 Months,No,293.9138436,168.39716,High_spent_Large_value_payments,730.5999964,2024-01-01
CUS_0x1c1f,24922.12,2175.843333,8,4,5,0,,25,17,8.37,2,Standard,407.79,30.311732,28 Years and 5 Months,No,0.0,173.6184935,Low_spent_Medium_value_payments,323.9658398,2024-01-01
CUS_0x1c7e,13691.91_,936.9925,4,5,15,0,,23,14,2.56,5,_,179.27,35.82599023,23 Years and 2 Months,No,0.0,50.62332182,Low_spent_Medium_value_payments,323.0759282,2024-01-01
CUS_0x1cc4,45034.34,4021.861667,4,7,8,2,"Home Equity Loan, and Mortgage Loan",7,13,6.3,0,Good,36.56,26.65762741,23 Years and 5 Months,No,33977.0,139.082986,High_spent_Medium_value_payments,464.3767869,2024-01-01
CUS_0x1cce,20618.07,1434.1725,9,7,27,-100,"Payday Loan, Debt Consolidation Loan, Student Loan, Student Loan, and Debt Consolidation Loan",34,15_,9.76,12,Bad,1424.45,34.75637768,12 Years and 5 Months,Yes,48.45412971,103.9961869,Low_spent_Small_value_payments,280.9669334,2024-01-01
CUS_0x1d1b,152574.76_,12547.56333,2,5,3,3,"Payday Loan, Not Specified, and Personal Loan",29,1,5.62,4,Good,754.8,36.50972823,20 Years and 8 Months,No,205.4848429,807.0135652,Low_spent_Large_value_payments,512.2579253,2024-01-01
CUS_0x1d33,39294.3_,3292.525,9,10,30,3,"Debt Consolidation Loan, Home Equity Loan, and Debt Consolidation Loan",47,20,7.14,11,_,1292.73,30.48575226,13 Years and 10 Months,Yes,60.74439251,129.7396727,Low_spent_Small_value_payments,428.7684348,2024-01-01
CUS_0x1d9a,28547.56,2553.963333,9,9,30,7,"Mortgage Loan, Debt Consolidation Loan, Home Equity Loan, Debt Consolidation Loan, Credit-Builder Loan, Student Loan, and Not Specified",49,17,27.29,8,Bad,4022.3,37.81696637,7 Years and 6 Months,Yes,87.8779577,92.69758471,Low_spent_Medium_value_payments,354.8207909,2024-01-01
CUS_0x1e2d,10967.735,738.9779167,334,6,5,0,,9,15,19.36,0,Standard,1314.16,25.01704834,28 Years and 6 Months,Yes,0.0,37.3117075,High_spent_Small_value_payments,296.5860842,2024-01-01
CUS_0x1e72,26670.7,1996.558333,5,4,5,3,"Debt Consolidation Loan, Payday Loan, and Payday Loan",6,13,15.96,5,_,502.35,30.73318109,11 Years and 9 Months,Yes,38.9895816,38.5309103,High_spent_Small_value_payments,382.1353414,2024-01-01
CUS_0x1eee,115649.52,9400.46,5,5,9,2,"Payday Loan, and Home Equity Loan",7,8,10.46,6,Good,641.04,36.71036305,20 Years and 7 Months,NM,104.619466,146.044567,High_spent_Large_value_payments,929.381967,2024-01-01
CUS_0x1efd,17933.84,1393.486667,9,6,17,-100,"Personal Loan, Debt Consolidation Loan, Credit-Builder Loan, Personal Loan, and Student Loan",49,18,15.02,9,Standard,1660.5,33.97214038,13 Years and 4 Months,NM,48.00605102,30.95045385,High_spent_Medium_value_payments,310.3921618,2024-01-01
