Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,snapshot_date
CUS_0x10dd,105645.6,9090.8,4,3,5,4,"Credit-Builder Loan, Student Loan, Payday Loan, and Personal Loan",28,19,2.41,4,_,1336.91,40.45548153,21 Years and 4 Months,No,315.4061006,170.8991872,High_spent_Large_value_payments,662.7747121,2024-06-01
CUS_0x1109,76284.72,6451.06,6,10,18,6,"Home Equity Loan, Credit-Builder Loan, Auto Loan, Not Specified, Payday Loan, and Mortgage Loan",24,12,6.69,11,Standard,1957.32,29.36443367,20 Years and 1 Months,Yes,222.9590023,163.6494692,High_spent_Medium_value_payments,508.4975285,2024-06-01
CUS_0x1286,33642.07,2509.505833,7,3,12,2,"Debt Consolidation Loan, and Not Specified",22,8,0.14,8,Standard,696.57,32.07386883,22 Years and 11 Months,No,29.56393249,__10000__,High_spent_Medium_value_payments,430.5489706,2024-06-01
CUS_0x12a8,103092.27,8311.0225,3,6,10,4,"Not Specified, Credit-Builder Loan, Debt Consolidation Loan, and Student Loan",22,15,15.53,4,Standard,300.65,39.79152937,13 Years and 8 Months,Yes,328.6048364,65.92393373,High_spent_Large_value_payments,676.5734799,2024-06-01
CUS_0x1309,106876.77,9149.3975,4,5,12,1,Not Specified,21,20,8.24,4,Good,356.07,32.77761753,29 Years and 5 Months,No,62.24258066,119.843141,High_spent_Large_value_payments,972.8540284,2024-06-01
CUS_0x13f8,145858.88,11878.90667,5,4,7,4,"Auto Loan, Student Loan, Credit-Builder Loan, and Personal Loan",0,6,5.91,1,_,1321.93,39.01039483,30 Years and 4 Months,No,262.4006749,169.4953572,High_spent_Large_value_payments,995.9946346,2024-06-01
CUS_0x1472,15512.055,1431.67125,3,4,13,5,"Personal Loan, Mortgage Loan, Mortgage Loan, Home Equity Loan, and Mortgage Loan",10,9,16.95,9,Standard,865.3_,34.67920938,12 Years and 0 Months,Yes,48.13304478,182.1360313,Low_spent_Small_value_payments,202.8980489,2024-06-01
CUS_0x15a3,16490.8,1574.233333,1,3,5,2,"Student Loan, and Payday Loan",6,8,-3.5,3,Good,1015,27.12011428,21 Years and 6 Months,No,17.1094803,136.7509536,Low_spent_Small_value_payments,293.5628994,2024-06-01
CUS_0x15f4,93712.29,7832.3575,6,4,10,0,,15,20,15.44,5,Standard,20.09,37.13005148,30 Years and 11 Months,Yes,33406.0,623.3370685,Low_spent_Medium_value_payments,439.8986815,2024-06-01
CUS_0x15f8,69840.02,5874.001667,6,5,10,1,Payday Loan,21,8,8.42,4,Good,651.86,40.27629316,19 Years and 2 Months,No,49.69735077,161.0592522,!@9#%8,630.7955053,2024-06-01
