Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,snapshot_date
CUS_0x103e,98690.8,8262.233333,4,6,9,1_,Student Loan,6,17,10.76,4,Good,706.96,26.86066346,26 Years and 11 Months,No,55.00440757,913.4813187,Low_spent_Small_value_payments,147.7376071,2024-12-01
CUS_0x1195,30429.91,2808.825833,4,6,16,2,"Auto Loan, and Auto Loan",22,17,1.67,1549,Standard,362.48,33.34905039,28 Years and 11 Months,No,29.91407646,82.87878578,Low_spent_Large_value_payments,438.0897211,2024-12-01
CUS_0x1197,92300.01,7437.6675,2,4,11,3,"Credit-Builder Loan, Not Specified, and Credit-Builder Loan",27,9,18.96,2,_,755.17_,26.98978682,18 Years and 11 Months,Yes,49236.0,220.8621525,Low_spent_Large_value_payments,581.1567885,2024-12-01
CUS_0x11e2,44986.55,3689.879167,6,5,11,1,Credit-Builder Loan,0,4,10.26,3,Good,753.21,25.58628564,20 Years and 0 Months,No,23.26713548,43.20363345,High_spent_Large_value_payments,542.5171477,2024-12-01
CUS_0x11ec,14867.69,1005.974167,9,9,18,6,"Debt Consolidation Loan, Student Loan, Personal Loan, Credit-Builder Loan, Auto Loan, and Debt Consolidation Loan",39,15,18.5,8,Standard,2344.06,24.34438752,17 Years and 2 Months,Yes,55.45960424,100.1457483,Low_spent_Medium_value_payments,224.9920641,2024-12-01
CUS_0x1234,64996.98,5215.415,3,5,12,2,"Not Specified, and Auto Loan",26,12,19.69,6,Standard,340.81,42.01869963,32 Years and 5 Months,Yes,97.54060256,586.0236304,High_spent_Large_value_payments,577.8538451,2024-12-01
CUS_0x1354,78498.72,6568.56,8,5,17,0,,17,9,8.82,7,Standard,910.99,25.32467874,9 Years and 11 Months,Yes,0.0,70.04196387,High_spent_Medium_value_payments,836.8140361,2024-12-01
CUS_0x137d,43655.04,3794.92,5,7,5,4_,"Payday Loan, Auto Loan, Debt Consolidation Loan, and Auto Loan",10,2,2.71,0,_,97.41,33.7302575,29 Years and 7 Months,No,131.2362359,231.216949,High_spent_Small_value_payments,277.0388151,2024-12-01
CUS_0x1437,127921.84,10899.15333,7,6,18,3,"Personal Loan, Credit-Builder Loan, and Debt Consolidation Loan",8,20,13.37,946,Standard,1043.09,38.44770193,29 Years and 11 Months,Yes,226.7458196,535.5454973,Low_spent_Large_value_payments,597.6240164,2024-12-01
CUS_0x143d,19827.36,1469.28,8,7,17,1,Auto Loan,18,10,9.96,6,_,282.29,25.01789639,22 Years and 8 Months,NM,15.04120329,70.85315783,Low_spent_Small_value_payments,351.0336389,2024-12-01
CUS_0x144d,20938.03,1896.835833,6,9,23,5,"Payday Loan, Not Specified, Not Specified, Not Specified, and Student Loan",12,15,-2.16,11,Bad,1657.74,26.55798601,10 Years and 3 Months,Yes,56.26113897,62.5588382,Low_spent_Medium_value_payments,350.8636062,2024-12-01
CUS_0x1458,28127.13,2579.9275,6,5,11,1,Credit-Builder Loan,12,14,15,5,_,1187.43,28.88577424,26 Years and 11 Months,Yes,17.03134464,162.6597982,Low_spent_Large_value_payments,348.3016071,2024-12-01
CUS_0x14f4,14274.32,907.5266667,4,4,12,3,"Debt Consolidation Loan, Debt Consolidation Loan, and Mortgage Loan",15,9_,8.48,4,Standard,1243.37,39.4785509,12 Years and 2 Months,Yes,18.18957977,50.18933666,Low_spent_Medium_value_payments,302.3737502,2024-12-01
CUS_0x151b,47165.44,3782.453333,8,4,7,0,,29,16,7.76,5,Standard,248.98,37.339742,27 Years and 10 Months,NM,0.0,254.0774777,Low_spent_Small_value_payments,414.1678556,2024-12-01
CUS_0x1542,70580.16,5991.68,5,3,4,4,"Mortgage Loan, Not Specified, Personal Loan, and Credit-Builder Loan",2,3,9.93,3,Good,1362.34,31.79808585,31 Years and 10 Months,No,221.770361,543.5765952,Low_spent_Small_value_payments,123.8210439,2024-12-01
CUS_0x1563,147620.68,12059.72333,5,7,5,0,,8,12,11.9,9,Standard,1082.41,29.22602719,23 Years and 5 Months,Yes,0.0,462.4109903,High_spent_Small_value_payments,1003.561343,2024-12-01
